"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"26/03/2024 08:00 - 26/03/2024 09:00","Norway (NO)","18399.07","18282.88"
"26/03/2024 09:00 - 26/03/2024 10:00","Norway (NO)","18372.25","18227.94"
"26/03/2024 10:00 - 26/03/2024 11:00","Norway (NO)","18502.80","18292.18"
"26/03/2024 11:00 - 26/03/2024 12:00","Norway (NO)","17650.70","18328.25"
"26/03/2024 12:00 - 26/03/2024 13:00","Norway (NO)","18161.71","17974.17"
"26/03/2024 13:00 - 26/03/2024 14:00","Norway (NO)","18016.06","18169.76"
"26/03/2024 14:00 - 26/03/2024 15:00","Norway (NO)","18257.12","18253.04"
"26/03/2024 15:00 - 26/03/2024 16:00","Norway (NO)","18313.87","18402.91"
"26/03/2024 16:00 - 26/03/2024 17:00","Norway (NO)","18143.77","18366.32"
"26/03/2024 17:00 - 26/03/2024 18:00","Norway (NO)","18004.49","18137.68"
"26/03/2024 18:00 - 26/03/2024 19:00","Norway (NO)","17970.82","18098.13"
"26/03/2024 19:00 - 26/03/2024 20:00","Norway (NO)","18388.52","18184.11"
"26/03/2024 20:00 - 26/03/2024 21:00","Norway (NO)","18159.37","18326.74"
"26/03/2024 21:00 - 26/03/2024 22:00","Norway (NO)","17897.28","17855.84"
"26/03/2024 22:00 - 26/03/2024 23:00","Norway (NO)","17511.99","17473.11"
"26/03/2024 23:00 - 27/03/2024 00:00","Norway (NO)","17161.51","17011.15"
"27/03/2024 00:00 - 27/03/2024 01:00","Norway (NO)","16834.10","16596.29"
"27/03/2024 01:00 - 27/03/2024 02:00","Norway (NO)","16517.27","16299.34"
"27/03/2024 02:00 - 27/03/2024 03:00","Norway (NO)","16152.04","16430.94"
"27/03/2024 03:00 - 27/03/2024 04:00","Norway (NO)","16063.32","16058.28"
"27/03/2024 04:00 - 27/03/2024 05:00","Norway (NO)","16112.89","16108.00"
"27/03/2024 05:00 - 27/03/2024 06:00","Norway (NO)","16327.44","16356.85"
"27/03/2024 06:00 - 27/03/2024 07:00","Norway (NO)","16922.28","17302.53"
"27/03/2024 07:00 - 27/03/2024 08:00","Norway (NO)","17492.54","17873.84"
"27/03/2024 08:00 - 27/03/2024 09:00","Norway (NO)","17848.41","17602.26"
"27/03/2024 09:00 - 27/03/2024 10:00","Norway (NO)","17929.22","17811.61"
"27/03/2024 10:00 - 27/03/2024 11:00","Norway (NO)","17835.29","17749.85"
"27/03/2024 11:00 - 27/03/2024 12:00","Norway (NO)","18027.22","17491.35"
"27/03/2024 12:00 - 27/03/2024 13:00","Norway (NO)","17856.52","17615.30"
"27/03/2024 13:00 - 27/03/2024 14:00","Norway (NO)","17560.10","17535.00"
"27/03/2024 14:00 - 27/03/2024 15:00","Norway (NO)","17462.37","17496.41"
"27/03/2024 15:00 - 27/03/2024 16:00","Norway (NO)","17482.01","17576.64"
"27/03/2024 16:00 - 27/03/2024 17:00","Norway (NO)","17410.62","17432.73"
"27/03/2024 17:00 - 27/03/2024 18:00","Norway (NO)","17365.65","17518.90"
"27/03/2024 18:00 - 27/03/2024 19:00","Norway (NO)","17100.95","17407.07"
"27/03/2024 19:00 - 27/03/2024 20:00","Norway (NO)","17100.61","17258.09"
"27/03/2024 20:00 - 27/03/2024 21:00","Norway (NO)","16927.33","16956.12"
"27/03/2024 21:00 - 27/03/2024 22:00","Norway (NO)","16629.68","16758.12"
"27/03/2024 22:00 - 27/03/2024 23:00","Norway (NO)","16274.42","16184.29"
"27/03/2024 23:00 - 28/03/2024 00:00","Norway (NO)","15928.65","15820.86"
"28/03/2024 00:00 - 28/03/2024 01:00","Norway (NO)","15684.20","15077.12"
"28/03/2024 01:00 - 28/03/2024 02:00","Norway (NO)","15311.28","15365.42"
"28/03/2024 02:00 - 28/03/2024 03:00","Norway (NO)","15081.26","15101.50"
"28/03/2024 03:00 - 28/03/2024 04:00","Norway (NO)","15236.24","14891.92"
"28/03/2024 04:00 - 28/03/2024 05:00","Norway (NO)","15317.32","14874.24"
"28/03/2024 05:00 - 28/03/2024 06:00","Norway (NO)","15329.48","15068.70"
"28/03/2024 06:00 - 28/03/2024 07:00","Norway (NO)","15385.94","15162.48"
"28/03/2024 07:00 - 28/03/2024 08:00","Norway (NO)","15727.51","15201.02"
"28/03/2024 08:00 - 28/03/2024 09:00","Norway (NO)","15886.95","15425.04"
"28/03/2024 09:00 - 28/03/2024 10:00","Norway (NO)","15953.72","15682.01"
"28/03/2024 10:00 - 28/03/2024 11:00","Norway (NO)","15791.29","15756.61"
"28/03/2024 11:00 - 28/03/2024 12:00","Norway (NO)","15681.09","15640.61"
"28/03/2024 12:00 - 28/03/2024 13:00","Norway (NO)","16023.20","15594.74"
"28/03/2024 13:00 - 28/03/2024 14:00","Norway (NO)","16012.19","15412.52"
"28/03/2024 14:00 - 28/03/2024 15:00","Norway (NO)","15972.17","15534.49"
"28/03/2024 15:00 - 28/03/2024 16:00","Norway (NO)","16282.71","15474.38"
"28/03/2024 16:00 - 28/03/2024 17:00","Norway (NO)","16457.03","15577.00"
"28/03/2024 17:00 - 28/03/2024 18:00","Norway (NO)","16368.46","15745.10"
"28/03/2024 18:00 - 28/03/2024 19:00","Norway (NO)","16175.53","16126.49"
"28/03/2024 19:00 - 28/03/2024 20:00","Norway (NO)","16090.20","16532.09"
"28/03/2024 20:00 - 28/03/2024 21:00","Norway (NO)","15826.64","16446.30"
"28/03/2024 21:00 - 28/03/2024 22:00","Norway (NO)","15665.01","16169.29"
"28/03/2024 22:00 - 28/03/2024 23:00","Norway (NO)","15361.07","15737.56"
"28/03/2024 23:00 - 29/03/2024 00:00","Norway (NO)","15190.30","15384.71"
"29/03/2024 00:00 - 29/03/2024 01:00","Norway (NO)","14881.25","14862.77"
"29/03/2024 01:00 - 29/03/2024 02:00","Norway (NO)","14821.01","15069.12"
"29/03/2024 02:00 - 29/03/2024 03:00","Norway (NO)","14602.51","15032.21"
"29/03/2024 03:00 - 29/03/2024 04:00","Norway (NO)","14560.20","14993.19"
"29/03/2024 04:00 - 29/03/2024 05:00","Norway (NO)","14357.88","14937.53"
"29/03/2024 05:00 - 29/03/2024 06:00","Norway (NO)","14553.34","15166.42"
"29/03/2024 06:00 - 29/03/2024 07:00","Norway (NO)","14677.70","15274.68"
"29/03/2024 07:00 - 29/03/2024 08:00","Norway (NO)","15034.91","15408.12"
"29/03/2024 08:00 - 29/03/2024 09:00","Norway (NO)","15268.72","15696.49"
"29/03/2024 09:00 - 29/03/2024 10:00","Norway (NO)","15509.64","15900.47"
"29/03/2024 10:00 - 29/03/2024 11:00","Norway (NO)","15801.49","15952.80"
"29/03/2024 11:00 - 29/03/2024 12:00","Norway (NO)","15676.04","15819.77"
"29/03/2024 12:00 - 29/03/2024 13:00","Norway (NO)","15696.26","15739.72"
"29/03/2024 13:00 - 29/03/2024 14:00","Norway (NO)","15915.82","15569.37"
"29/03/2024 14:00 - 29/03/2024 15:00","Norway (NO)","15830.49","15644.96"
"29/03/2024 15:00 - 29/03/2024 16:00","Norway (NO)","15777.16","15572.18"
"29/03/2024 16:00 - 29/03/2024 17:00","Norway (NO)","15769.65","15673.05"
"29/03/2024 17:00 - 29/03/2024 18:00","Norway (NO)","15929.40","15851.63"
"29/03/2024 18:00 - 29/03/2024 19:00","Norway (NO)","16113.95","16241.66"
"29/03/2024 19:00 - 29/03/2024 20:00","Norway (NO)","16089.51","16653.58"
"29/03/2024 20:00 - 29/03/2024 21:00","Norway (NO)","15869.68","16561.11"
"29/03/2024 21:00 - 29/03/2024 22:00","Norway (NO)","15799.25","16274.81"
"29/03/2024 22:00 - 29/03/2024 23:00","Norway (NO)","15408.00","15814.76"
"29/03/2024 23:00 - 30/03/2024 00:00","Norway (NO)","15111.11","15430.68"
"30/03/2024 00:00 - 30/03/2024 01:00","Norway (NO)","14920.02","14825.45"
"30/03/2024 01:00 - 30/03/2024 02:00","Norway (NO)","14689.71","15026.43"
"30/03/2024 02:00 - 30/03/2024 03:00","Norway (NO)","14574.56","15009.66"
"30/03/2024 03:00 - 30/03/2024 04:00","Norway (NO)","14461.88","14992.30"
"30/03/2024 04:00 - 30/03/2024 05:00","Norway (NO)","14432.91","14936.62"
"30/03/2024 05:00 - 30/03/2024 06:00","Norway (NO)","14452.60","15165.48"
"30/03/2024 06:00 - 30/03/2024 07:00","Norway (NO)","14549.36","15273.70"
"30/03/2024 07:00 - 30/03/2024 08:00","Norway (NO)","14835.54","15407.16"
"30/03/2024 08:00 - 30/03/2024 09:00","Norway (NO)","15372.07","15695.55"
"30/03/2024 09:00 - 30/03/2024 10:00","Norway (NO)","15657.17","15899.53"
"30/03/2024 10:00 - 30/03/2024 11:00","Norway (NO)","16159.72","15951.83"
"30/03/2024 11:00 - 30/03/2024 12:00","Norway (NO)","15835.38","15818.89"
"30/03/2024 12:00 - 30/03/2024 13:00","Norway (NO)","15637.11","15738.81"
"30/03/2024 13:00 - 30/03/2024 14:00","Norway (NO)","15303.24","15568.53"
"30/03/2024 14:00 - 30/03/2024 15:00","Norway (NO)","15369.42","15644.26"
"30/03/2024 15:00 - 30/03/2024 16:00","Norway (NO)","15498.84","15571.48"
"30/03/2024 16:00 - 30/03/2024 17:00","Norway (NO)","15414.62","15672.36"
"30/03/2024 17:00 - 30/03/2024 18:00","Norway (NO)","15705.54","15850.89"
"30/03/2024 18:00 - 30/03/2024 19:00","Norway (NO)","15757.25","16240.86"
"30/03/2024 19:00 - 30/03/2024 20:00","Norway (NO)","15844.60","16652.75"
"30/03/2024 20:00 - 30/03/2024 21:00","Norway (NO)","15516.95","16560.29"
"30/03/2024 21:00 - 30/03/2024 22:00","Norway (NO)","15302.43","16274.00"
"30/03/2024 22:00 - 30/03/2024 23:00","Norway (NO)","15057.89","15813.97"
"30/03/2024 23:00 - 31/03/2024 00:00","Norway (NO)","14899.40","15429.99"
"31/03/2024 00:00 - 31/03/2024 01:00 (CET)","Norway (NO)","14815.60","14699.68"
"31/03/2024 01:00 (CET) - 31/03/2024 03:00 (CEST)","Norway (NO)","14704.37","14662.04"
"31/03/2024 03:00 (CEST) - 31/03/2024 04:00","Norway (NO)","14518.29","14625.96"
"31/03/2024 04:00 - 31/03/2024 05:00","Norway (NO)","14410.28","20684.23"
"31/03/2024 05:00 - 31/03/2024 06:00","Norway (NO)","14247.97","13935.32"
"31/03/2024 06:00 - 31/03/2024 07:00","Norway (NO)","14119.42","19738.01"
"31/03/2024 07:00 - 31/03/2024 08:00","Norway (NO)","13929.86","19413.16"
"31/03/2024 08:00 - 31/03/2024 09:00","Norway (NO)","14178.78","20027.11"
"31/03/2024 09:00 - 31/03/2024 10:00","Norway (NO)","14262.86","13471.97"
"31/03/2024 10:00 - 31/03/2024 11:00","Norway (NO)","15328.78","19705.05"
"31/03/2024 11:00 - 31/03/2024 12:00","Norway (NO)","15339.89","13678.53"
"31/03/2024 12:00 - 31/03/2024 13:00","Norway (NO)","15396.63","17700.45"
"31/03/2024 13:00 - 31/03/2024 14:00","Norway (NO)","15228.19","14668.34"
"31/03/2024 14:00 - 31/03/2024 15:00","Norway (NO)","15175.25","16861.35"
"31/03/2024 15:00 - 31/03/2024 16:00","Norway (NO)","15139.02","16748.50"
"31/03/2024 16:00 - 31/03/2024 17:00","Norway (NO)","15086.69","15961.20"
"31/03/2024 17:00 - 31/03/2024 18:00","Norway (NO)","15571.96","15657.71"
"31/03/2024 18:00 - 31/03/2024 19:00","Norway (NO)","15544.35","16038.72"
"31/03/2024 19:00 - 31/03/2024 20:00","Norway (NO)","15659.89","16200.77"
"31/03/2024 20:00 - 31/03/2024 21:00","Norway (NO)","15897.25","16226.37"
"31/03/2024 21:00 - 31/03/2024 22:00","Norway (NO)","15942.38","15804.01"
"31/03/2024 22:00 - 31/03/2024 23:00","Norway (NO)","15559.08","15637.55"
"31/03/2024 23:00 - 01/04/2024 00:00","Norway (NO)","15118.16","15327.63"
"01/04/2024 00:00 - 01/04/2024 01:00","Norway (NO)","14880.89","14942.54"
"01/04/2024 01:00 - 01/04/2024 02:00","Norway (NO)","14880.73","15095.90"
"01/04/2024 02:00 - 01/04/2024 03:00","Norway (NO)","14776.78","15087.76"
"01/04/2024 03:00 - 01/04/2024 04:00","Norway (NO)","14706.00","15051.37"
"01/04/2024 04:00 - 01/04/2024 05:00","Norway (NO)","14573.57","14986.05"
"01/04/2024 05:00 - 01/04/2024 06:00","Norway (NO)","14703.71","15210.11"
"01/04/2024 06:00 - 01/04/2024 07:00","Norway (NO)","15043.51","15335.85"
"01/04/2024 07:00 - 01/04/2024 08:00","Norway (NO)","15215.33","15312.25"
"01/04/2024 08:00 - 01/04/2024 09:00","Norway (NO)","15412.05","15459.38"
"01/04/2024 09:00 - 01/04/2024 10:00","Norway (NO)","15458.30","15647.15"
"01/04/2024 10:00 - 01/04/2024 11:00","Norway (NO)","15381.55","15673.95"
"01/04/2024 11:00 - 01/04/2024 12:00","Norway (NO)","14666.40","15539.85"
"01/04/2024 12:00 - 01/04/2024 13:00","Norway (NO)","15289.12","15428.41"
"01/04/2024 13:00 - 01/04/2024 14:00","Norway (NO)","14612.39","15229.17"
"01/04/2024 14:00 - 01/04/2024 15:00","Norway (NO)","14994.70","15189.21"
"01/04/2024 15:00 - 01/04/2024 16:00","Norway (NO)","15151.36","15127.46"
"01/04/2024 16:00 - 01/04/2024 17:00","Norway (NO)","15404.96","15207.05"
"01/04/2024 17:00 - 01/04/2024 18:00","Norway (NO)","15341.78","15376.43"
"01/04/2024 18:00 - 01/04/2024 19:00","Norway (NO)","15403.21","15742.49"
"01/04/2024 19:00 - 01/04/2024 20:00","Norway (NO)","15504.72","16125.87"
"01/04/2024 20:00 - 01/04/2024 21:00","Norway (NO)","15694.75","16099.24"
"01/04/2024 21:00 - 01/04/2024 22:00","Norway (NO)","15841.99","15874.82"
"01/04/2024 22:00 - 01/04/2024 23:00","Norway (NO)","15769.06","15491.50"
"01/04/2024 23:00 - 02/04/2024 00:00","Norway (NO)","15229.08","15156.76"
"02/04/2024 00:00 - 02/04/2024 01:00","Norway (NO)","14897.47","15248.56"
"02/04/2024 01:00 - 02/04/2024 02:00","Norway (NO)","14790.62","15761.48"
"02/04/2024 02:00 - 02/04/2024 03:00","Norway (NO)","14743.40","15732.27"
"02/04/2024 03:00 - 02/04/2024 04:00","Norway (NO)","14978.43","15760.89"
"02/04/2024 04:00 - 02/04/2024 05:00","Norway (NO)","15087.87","15784.16"
"02/04/2024 05:00 - 02/04/2024 06:00","Norway (NO)","15446.36","16088.75"
"02/04/2024 06:00 - 02/04/2024 07:00","Norway (NO)","16543.45","15844.54"
"02/04/2024 07:00 - 02/04/2024 08:00","Norway (NO)","17576.88","16732.61"
"02/04/2024 08:00 - 02/04/2024 09:00","Norway (NO)","18356.52","16866.60"
"02/04/2024 09:00 - 02/04/2024 10:00","Norway (NO)","18025.92","17526.45"
"02/04/2024 10:00 - 02/04/2024 11:00","Norway (NO)","17788.35","18123.20"
"02/04/2024 11:00 - 02/04/2024 12:00","Norway (NO)","17623.57","17722.46"
"02/04/2024 12:00 - 02/04/2024 13:00","Norway (NO)","17697.59","17550.44"
"02/04/2024 13:00 - 02/04/2024 14:00","Norway (NO)","17369.62","17515.60"
"02/04/2024 14:00 - 02/04/2024 15:00","Norway (NO)","17386.01","17570.99"
"02/04/2024 15:00 - 02/04/2024 16:00","Norway (NO)","17188.12","17501.97"
"02/04/2024 16:00 - 02/04/2024 17:00","Norway (NO)","17147.87","17213.70"
"02/04/2024 17:00 - 02/04/2024 18:00","Norway (NO)","17131.84","17181.77"
"02/04/2024 18:00 - 02/04/2024 19:00","Norway (NO)","17023.21","17169.53"
"02/04/2024 19:00 - 02/04/2024 20:00","Norway (NO)","17278.29","17139.21"
"02/04/2024 20:00 - 02/04/2024 21:00","Norway (NO)","17748.36","16997.57"
"02/04/2024 21:00 - 02/04/2024 22:00","Norway (NO)","17726.04","17167.42"
"02/04/2024 22:00 - 02/04/2024 23:00","Norway (NO)","17317.57","17397.48"
"02/04/2024 23:00 - 03/04/2024 00:00","Norway (NO)","16811.26","17228.46"
"03/04/2024 00:00 - 03/04/2024 01:00","Norway (NO)","16495.22","16176.51"
"03/04/2024 01:00 - 03/04/2024 02:00","Norway (NO)","16197.47","16343.99"
"03/04/2024 02:00 - 03/04/2024 03:00","Norway (NO)","15991.16","16176.33"
"03/04/2024 03:00 - 03/04/2024 04:00","Norway (NO)","15811.91","15996.16"
"03/04/2024 04:00 - 03/04/2024 05:00","Norway (NO)","16016.60","15923.02"
"03/04/2024 05:00 - 03/04/2024 06:00","Norway (NO)","16438.69","16305.32"
"03/04/2024 06:00 - 03/04/2024 07:00","Norway (NO)","17558.81","17479.03"
"03/04/2024 07:00 - 03/04/2024 08:00","Norway (NO)","18651.28","18642.57"
"03/04/2024 08:00 - 03/04/2024 09:00","Norway (NO)","18736.73","18835.46"
"03/04/2024 09:00 - 03/04/2024 10:00","Norway (NO)","18494.23","18593.57"
"03/04/2024 10:00 - 03/04/2024 11:00","Norway (NO)","17963.07","18443.58"
"03/04/2024 11:00 - 03/04/2024 12:00","Norway (NO)","18110.20","17707.86"
"03/04/2024 12:00 - 03/04/2024 13:00","Norway (NO)","18199.63","17956.57"
"03/04/2024 13:00 - 03/04/2024 14:00","Norway (NO)","17868.67","17993.33"
"03/04/2024 14:00 - 03/04/2024 15:00","Norway (NO)","17767.90","17703.70"
"03/04/2024 15:00 - 03/04/2024 16:00","Norway (NO)","17840.27","17830.29"
"03/04/2024 16:00 - 03/04/2024 17:00","Norway (NO)","17943.36","17832.25"
"03/04/2024 17:00 - 03/04/2024 18:00","Norway (NO)","17921.94","17943.70"
"03/04/2024 18:00 - 03/04/2024 19:00","Norway (NO)","17847.24","17911.05"
"03/04/2024 19:00 - 03/04/2024 20:00","Norway (NO)","18000.83","17904.60"
"03/04/2024 20:00 - 03/04/2024 21:00","Norway (NO)","18358.40","17945.68"
"03/04/2024 21:00 - 03/04/2024 22:00","Norway (NO)","18297.46","18116.82"
"03/04/2024 22:00 - 03/04/2024 23:00","Norway (NO)","17991.37","17785.34"
"03/04/2024 23:00 - 04/04/2024 00:00","Norway (NO)","17561.08","17432.83"
"04/04/2024 00:00 - 04/04/2024 01:00","Norway (NO)","17110.73","17175.37"
"04/04/2024 01:00 - 04/04/2024 02:00","Norway (NO)","16748.03","17036.71"
"04/04/2024 02:00 - 04/04/2024 03:00","Norway (NO)","16612.38","16731.97"
"04/04/2024 03:00 - 04/04/2024 04:00","Norway (NO)","16708.65","16496.44"
"04/04/2024 04:00 - 04/04/2024 05:00","Norway (NO)","16803.55","16681.38"
"04/04/2024 05:00 - 04/04/2024 06:00","Norway (NO)","17264.15","17100.10"
"04/04/2024 06:00 - 04/04/2024 07:00","Norway (NO)","18419.00","18108.36"
"04/04/2024 07:00 - 04/04/2024 08:00","Norway (NO)","19728.20","19308.54"
"04/04/2024 08:00 - 04/04/2024 09:00","Norway (NO)","20082.81","19811.89"
"04/04/2024 09:00 - 04/04/2024 10:00","Norway (NO)","19957.99","19769.28"
"04/04/2024 10:00 - 04/04/2024 11:00","Norway (NO)","19695.97","19496.80"
"04/04/2024 11:00 - 04/04/2024 12:00","Norway (NO)","19708.27","19483.99"
"04/04/2024 12:00 - 04/04/2024 13:00","Norway (NO)","19683.83","19448.43"
"04/04/2024 13:00 - 04/04/2024 14:00","Norway (NO)","19642.53","19400.45"
"04/04/2024 14:00 - 04/04/2024 15:00","Norway (NO)","19782.61","19667.80"
"04/04/2024 15:00 - 04/04/2024 16:00","Norway (NO)","19790.94","19760.49"
"04/04/2024 16:00 - 04/04/2024 17:00","Norway (NO)","19701.85","19831.03"
"04/04/2024 17:00 - 04/04/2024 18:00","Norway (NO)","19456.82","19653.07"
"04/04/2024 18:00 - 04/04/2024 19:00","Norway (NO)","19377.16","19488.91"
"04/04/2024 19:00 - 04/04/2024 20:00","Norway (NO)","19503.08","19316.21"
"04/04/2024 20:00 - 04/04/2024 21:00","Norway (NO)","19489.33","19275.27"
"04/04/2024 21:00 - 04/04/2024 22:00","Norway (NO)","19295.13","19155.13"
"04/04/2024 22:00 - 04/04/2024 23:00","Norway (NO)","19082.46","18753.07"
"04/04/2024 23:00 - 05/04/2024 00:00","Norway (NO)","18594.88","18200.98"
"05/04/2024 00:00 - 05/04/2024 01:00","Norway (NO)","18226.76","18056.41"
"05/04/2024 01:00 - 05/04/2024 02:00","Norway (NO)","17896.78","17869.33"
"05/04/2024 02:00 - 05/04/2024 03:00","Norway (NO)","17711.63","17611.84"
"05/04/2024 03:00 - 05/04/2024 04:00","Norway (NO)","17636.50","17470.51"
"05/04/2024 04:00 - 05/04/2024 05:00","Norway (NO)","17726.19","17522.34"
"05/04/2024 05:00 - 05/04/2024 06:00","Norway (NO)","17949.98","17927.22"
"05/04/2024 06:00 - 05/04/2024 07:00","Norway (NO)","18866.66","18669.08"
"05/04/2024 07:00 - 05/04/2024 08:00","Norway (NO)","20018.09","19641.68"
"05/04/2024 08:00 - 05/04/2024 09:00","Norway (NO)","20310.04","20054.74"
"05/04/2024 09:00 - 05/04/2024 10:00","Norway (NO)","20012.58","19939.63"
"05/04/2024 10:00 - 05/04/2024 11:00","Norway (NO)","19477.61","19673.63"
"05/04/2024 11:00 - 05/04/2024 12:00","Norway (NO)","18911.41","19180.84"
"05/04/2024 12:00 - 05/04/2024 13:00","Norway (NO)","18822.66","18904.55"
"05/04/2024 13:00 - 05/04/2024 14:00","Norway (NO)","18756.60","18593.12"
"05/04/2024 14:00 - 05/04/2024 15:00","Norway (NO)","18435.62","18586.59"
"05/04/2024 15:00 - 05/04/2024 16:00","Norway (NO)","18312.92","18309.00"
"05/04/2024 16:00 - 05/04/2024 17:00","Norway (NO)","18706.61","18314.56"
"05/04/2024 17:00 - 05/04/2024 18:00","Norway (NO)","18652.78","18742.43"
"05/04/2024 18:00 - 05/04/2024 19:00","Norway (NO)","18490.54","17737.91"
"05/04/2024 19:00 - 05/04/2024 20:00","Norway (NO)","18715.44","17758.70"
"05/04/2024 20:00 - 05/04/2024 21:00","Norway (NO)","18638.12","17061.12"
"05/04/2024 21:00 - 05/04/2024 22:00","Norway (NO)","18605.17","17301.15"
"05/04/2024 22:00 - 05/04/2024 23:00","Norway (NO)","18182.77","17453.42"
"05/04/2024 23:00 - 06/04/2024 00:00","Norway (NO)","17570.15","17013.47"
"06/04/2024 00:00 - 06/04/2024 01:00","Norway (NO)","17216.92","17240.08"
"06/04/2024 01:00 - 06/04/2024 02:00","Norway (NO)","17048.33","17043.65"
"06/04/2024 02:00 - 06/04/2024 03:00","Norway (NO)","16729.95","16757.75"
"06/04/2024 03:00 - 06/04/2024 04:00","Norway (NO)","16764.71","16553.99"
"06/04/2024 04:00 - 06/04/2024 05:00","Norway (NO)","16642.13","16619.97"
"06/04/2024 05:00 - 06/04/2024 06:00","Norway (NO)","16562.87","16618.98"
"06/04/2024 06:00 - 06/04/2024 07:00","Norway (NO)","16689.19","16589.89"
"06/04/2024 07:00 - 06/04/2024 08:00","Norway (NO)","17044.99","17012.11"
"06/04/2024 08:00 - 06/04/2024 09:00","Norway (NO)","17078.83","17392.30"
"06/04/2024 09:00 - 06/04/2024 10:00","Norway (NO)","17415.36","17612.03"
"06/04/2024 10:00 - 06/04/2024 11:00","Norway (NO)","17541.32","17600.80"
"06/04/2024 11:00 - 06/04/2024 12:00","Norway (NO)","17333.42","17442.55"
"06/04/2024 12:00 - 06/04/2024 13:00","Norway (NO)","17184.19","17162.09"
"06/04/2024 13:00 - 06/04/2024 14:00","Norway (NO)","17034.72","17033.04"
"06/04/2024 14:00 - 06/04/2024 15:00","Norway (NO)","16957.08","16897.62"
"06/04/2024 15:00 - 06/04/2024 16:00","Norway (NO)","16931.09","16969.85"
"06/04/2024 16:00 - 06/04/2024 17:00","Norway (NO)","17049.36","17089.25"
"06/04/2024 17:00 - 06/04/2024 18:00","Norway (NO)","17172.94","17243.72"
"06/04/2024 18:00 - 06/04/2024 19:00","Norway (NO)","17188.44","17216.08"
"06/04/2024 19:00 - 06/04/2024 20:00","Norway (NO)","17192.18","17139.24"
"06/04/2024 20:00 - 06/04/2024 21:00","Norway (NO)","16973.20","16862.68"
"06/04/2024 21:00 - 06/04/2024 22:00","Norway (NO)","16824.46","16644.98"
"06/04/2024 22:00 - 06/04/2024 23:00","Norway (NO)","16503.75","16505.97"
"06/04/2024 23:00 - 07/04/2024 00:00","Norway (NO)","16083.86","16180.06"
"07/04/2024 00:00 - 07/04/2024 01:00","Norway (NO)","15611.68","15891.11"
"07/04/2024 01:00 - 07/04/2024 02:00","Norway (NO)","15424.11","15625.05"
"07/04/2024 02:00 - 07/04/2024 03:00","Norway (NO)","15429.59","15449.47"
"07/04/2024 03:00 - 07/04/2024 04:00","Norway (NO)","15283.01","15350.30"
"07/04/2024 04:00 - 07/04/2024 05:00","Norway (NO)","15218.00","15226.11"
"07/04/2024 05:00 - 07/04/2024 06:00","Norway (NO)","15246.43","15169.95"
"07/04/2024 06:00 - 07/04/2024 07:00","Norway (NO)","15378.34","15284.57"
"07/04/2024 07:00 - 07/04/2024 08:00","Norway (NO)","15407.05","15540.47"
"07/04/2024 08:00 - 07/04/2024 09:00","Norway (NO)","15488.10","15684.27"
"07/04/2024 09:00 - 07/04/2024 10:00","Norway (NO)","15879.25","15711.65"
"07/04/2024 10:00 - 07/04/2024 11:00","Norway (NO)","16348.36","16230.17"
"07/04/2024 11:00 - 07/04/2024 12:00","Norway (NO)","16399.90","16290.49"
"07/04/2024 12:00 - 07/04/2024 13:00","Norway (NO)","15881.69","16257.88"
"07/04/2024 13:00 - 07/04/2024 14:00","Norway (NO)","15420.33","15780.21"
"07/04/2024 14:00 - 07/04/2024 15:00","Norway (NO)","15562.96","15443.20"
"07/04/2024 15:00 - 07/04/2024 16:00","Norway (NO)","15650.04","15664.75"
"07/04/2024 16:00 - 07/04/2024 17:00","Norway (NO)","15942.28","15603.77"
"07/04/2024 17:00 - 07/04/2024 18:00","Norway (NO)","15337.82","16095.06"
"07/04/2024 18:00 - 07/04/2024 19:00","Norway (NO)","15549.30","15509.61"
"07/04/2024 19:00 - 07/04/2024 20:00","Norway (NO)","15991.02","15777.04"
"07/04/2024 20:00 - 07/04/2024 21:00","Norway (NO)","16413.43","16072.93"
"07/04/2024 21:00 - 07/04/2024 22:00","Norway (NO)","16243.03","16297.05"
"07/04/2024 22:00 - 07/04/2024 23:00","Norway (NO)","15886.47","15960.39"
"07/04/2024 23:00 - 08/04/2024 00:00","Norway (NO)","15165.83","15456.99"
"08/04/2024 00:00 - 08/04/2024 01:00","Norway (NO)","15117.61","14891.15"
"08/04/2024 01:00 - 08/04/2024 02:00","Norway (NO)","14659.41","14977.90"
"08/04/2024 02:00 - 08/04/2024 03:00","Norway (NO)","14296.84","14708.55"
"08/04/2024 03:00 - 08/04/2024 04:00","Norway (NO)","14325.20","14267.80"
"08/04/2024 04:00 - 08/04/2024 05:00","Norway (NO)","14557.43","14424.71"
"08/04/2024 05:00 - 08/04/2024 06:00","Norway (NO)","14582.27","14817.12"
"08/04/2024 06:00 - 08/04/2024 07:00","Norway (NO)","15810.21","15561.67"
"08/04/2024 07:00 - 08/04/2024 08:00","Norway (NO)","17092.66","16626.42"
"08/04/2024 08:00 - 08/04/2024 09:00","Norway (NO)","17421.11","17223.49"
"08/04/2024 09:00 - 08/04/2024 10:00","Norway (NO)","17073.82","17232.51"
"08/04/2024 10:00 - 08/04/2024 11:00","Norway (NO)","16549.01","16829.31"
"08/04/2024 11:00 - 08/04/2024 12:00","Norway (NO)","16176.68","16354.37"
"08/04/2024 12:00 - 08/04/2024 13:00","Norway (NO)","15798.41","15820.91"
