"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 23:00 - 04/01/2024 00:00","Norway (NO)","21477.38","21427.79"
"04/01/2024 00:00 - 04/01/2024 01:00","Norway (NO)","21066.14","20995.69"
"04/01/2024 01:00 - 04/01/2024 02:00","Norway (NO)","20613.99","20875.53"
"04/01/2024 02:00 - 04/01/2024 03:00","Norway (NO)","20343.29","20508.81"
"04/01/2024 03:00 - 04/01/2024 04:00","Norway (NO)","20351.80","20256.28"
"04/01/2024 04:00 - 04/01/2024 05:00","Norway (NO)","20357.89","20447.74"
"04/01/2024 05:00 - 04/01/2024 06:00","Norway (NO)","20578.05","20559.85"
"04/01/2024 06:00 - 04/01/2024 07:00","Norway (NO)","21875.90","21486.26"
"04/01/2024 07:00 - 04/01/2024 08:00","Norway (NO)","23221.71","22985.57"
"04/01/2024 08:00 - 04/01/2024 09:00","Norway (NO)","23426.51","23446.39"
"04/01/2024 09:00 - 04/01/2024 10:00","Norway (NO)","23502.62","23310.88"
"04/01/2024 10:00 - 04/01/2024 11:00","Norway (NO)","23475.94","23418.52"
"04/01/2024 11:00 - 04/01/2024 12:00","Norway (NO)","23673.22","23270.30"
"04/01/2024 12:00 - 04/01/2024 13:00","Norway (NO)","23501.87","23498.21"
"04/01/2024 13:00 - 04/01/2024 14:00","Norway (NO)","23597.01","23363.09"
"04/01/2024 14:00 - 04/01/2024 15:00","Norway (NO)","23766.15","23459.40"
"04/01/2024 15:00 - 04/01/2024 16:00","Norway (NO)","24010.82","23611.26"
"04/01/2024 16:00 - 04/01/2024 17:00","Norway (NO)","24505.94","23910.46"
"04/01/2024 17:00 - 04/01/2024 18:00","Norway (NO)","24218.41","23965.53"
"04/01/2024 18:00 - 04/01/2024 19:00","Norway (NO)","24093.51","23481.66"
"04/01/2024 19:00 - 04/01/2024 20:00","Norway (NO)","24127.56","23608.15"
"04/01/2024 20:00 - 04/01/2024 21:00","Norway (NO)","23754.07","23648.11"
"04/01/2024 21:00 - 04/01/2024 22:00","Norway (NO)","23327.02","23273.44"
"04/01/2024 22:00 - 04/01/2024 23:00","Norway (NO)","22847.43","22645.94"
"04/01/2024 23:00 - 05/01/2024 00:00","Norway (NO)","22202.91","22216.29"
"05/01/2024 00:00 - 05/01/2024 01:00","Norway (NO)","21758.72","21650.45"
"05/01/2024 01:00 - 05/01/2024 02:00","Norway (NO)","21386.39","21510.50"
"05/01/2024 02:00 - 05/01/2024 03:00","Norway (NO)","21245.41","21196.37"
"05/01/2024 03:00 - 05/01/2024 04:00","Norway (NO)","21277.47","21065.69"
"05/01/2024 04:00 - 05/01/2024 05:00","Norway (NO)","21363.39","21186.08"
"05/01/2024 05:00 - 05/01/2024 06:00","Norway (NO)","21636.64","21483.89"
"05/01/2024 06:00 - 05/01/2024 07:00","Norway (NO)","22715.21","22523.39"
"05/01/2024 07:00 - 05/01/2024 08:00","Norway (NO)","24144.90","23688.03"
"05/01/2024 08:00 - 05/01/2024 09:00","Norway (NO)","24678.16","24320.83"
"05/01/2024 09:00 - 05/01/2024 10:00","Norway (NO)","24908.03","24479.69"
"05/01/2024 10:00 - 05/01/2024 11:00","Norway (NO)","24929.73","24454.59"
"05/01/2024 11:00 - 05/01/2024 12:00","Norway (NO)","24887.22","24308.49"
"05/01/2024 12:00 - 05/01/2024 13:00","Norway (NO)","24533.95","24095.47"
"05/01/2024 13:00 - 05/01/2024 14:00","Norway (NO)","24322.30","23856.45"
"05/01/2024 14:00 - 05/01/2024 15:00","Norway (NO)","24105.50","23879.74"
