"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 22:00 - 03/01/2024 23:00","Sweden (SE)","21072.00","20173.00"
"03/01/2024 23:00 - 04/01/2024 00:00","Sweden (SE)","20472.00","19614.00"
"04/01/2024 00:00 - 04/01/2024 01:00","Sweden (SE)","20205.00","19286.00"
"04/01/2024 01:00 - 04/01/2024 02:00","Sweden (SE)","19955.00","19123.00"
"04/01/2024 02:00 - 04/01/2024 03:00","Sweden (SE)","19858.00","19054.00"
"04/01/2024 03:00 - 04/01/2024 04:00","Sweden (SE)","19746.00","19071.00"
"04/01/2024 04:00 - 04/01/2024 05:00","Sweden (SE)","19857.00","19238.00"
"04/01/2024 05:00 - 04/01/2024 06:00","Sweden (SE)","20541.00","19667.00"
"04/01/2024 06:00 - 04/01/2024 07:00","Sweden (SE)","21450.00","20845.00"
"04/01/2024 07:00 - 04/01/2024 08:00","Sweden (SE)","22830.00","22034.00"
"04/01/2024 08:00 - 04/01/2024 09:00","Sweden (SE)","23448.00","22683.00"
"04/01/2024 09:00 - 04/01/2024 10:00","Sweden (SE)","23832.00","22826.00"
"04/01/2024 10:00 - 04/01/2024 11:00","Sweden (SE)","24115.00","23048.00"
"04/01/2024 11:00 - 04/01/2024 12:00","Sweden (SE)","23957.00","23162.00"
"04/01/2024 12:00 - 04/01/2024 13:00","Sweden (SE)","23926.00","23276.00"
"04/01/2024 13:00 - 04/01/2024 14:00","Sweden (SE)","23851.00","23307.00"
"04/01/2024 14:00 - 04/01/2024 15:00","Sweden (SE)","24263.00","23402.00"
"04/01/2024 15:00 - 04/01/2024 16:00","Sweden (SE)","24626.00","23755.00"
"04/01/2024 16:00 - 04/01/2024 17:00","Sweden (SE)","24819.00","23913.00"
"04/01/2024 17:00 - 04/01/2024 18:00","Sweden (SE)","24929.00","23976.00"
"04/01/2024 18:00 - 04/01/2024 19:00","Sweden (SE)","24692.00","23624.00"
"04/01/2024 19:00 - 04/01/2024 20:00","Sweden (SE)","24062.00","23237.00"
