"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 15:15 - 01/01/2024 15:30","Finland (FI)","13678.00","12845.40"
"01/01/2024 15:30 - 01/01/2024 15:45","Finland (FI)","13721.00","12892.00"
"01/01/2024 15:45 - 01/01/2024 16:00","Finland (FI)","13685.00","12916.70"
"01/01/2024 16:00 - 01/01/2024 16:15","Finland (FI)","13753.00","12902.70"
"01/01/2024 16:15 - 01/01/2024 16:30","Finland (FI)","13848.00","12909.90"
"01/01/2024 16:30 - 01/01/2024 16:45","Finland (FI)","13808.00","12886.10"
"01/01/2024 16:45 - 01/01/2024 17:00","Finland (FI)","13792.00","12899.20"
"01/01/2024 17:00 - 01/01/2024 17:15","Finland (FI)","13879.00","12914.00"
"01/01/2024 17:15 - 01/01/2024 17:30","Finland (FI)","13881.00","12922.60"
"01/01/2024 17:30 - 01/01/2024 17:45","Finland (FI)","13848.00","12925.80"
"01/01/2024 17:45 - 01/01/2024 18:00","Finland (FI)","13951.00","12928.30"
"01/01/2024 18:00 - 01/01/2024 18:15","Finland (FI)","13907.00","12931.90"
"01/01/2024 18:15 - 01/01/2024 18:30","Finland (FI)","13904.00","12925.10"
"01/01/2024 18:30 - 01/01/2024 18:45","Finland (FI)","13897.00","12910.40"
"01/01/2024 18:45 - 01/01/2024 19:00","Finland (FI)","13901.00","12889.90"
"01/01/2024 19:00 - 01/01/2024 19:15","Finland (FI)","13902.00","12862.40"
"01/01/2024 19:15 - 01/01/2024 19:30","Finland (FI)","13838.00","12830.40"
"01/01/2024 19:30 - 01/01/2024 19:45","Finland (FI)","13733.00","12801.50"
"01/01/2024 19:45 - 01/01/2024 20:00","Finland (FI)","13657.00","12743.00"
"01/01/2024 20:00 - 01/01/2024 20:15","Finland (FI)","13606.00","12631.30"
"01/01/2024 20:15 - 01/01/2024 20:30","Finland (FI)","13526.00","12594.00"
"01/01/2024 20:30 - 01/01/2024 20:45","Finland (FI)","13486.00","12594.20"
"01/01/2024 20:45 - 01/01/2024 21:00","Finland (FI)","13394.00","12652.10"
"01/01/2024 21:00 - 01/01/2024 21:15","Finland (FI)","13568.00","12814.50"
"01/01/2024 21:15 - 01/01/2024 21:30","Finland (FI)","13701.00","12873.30"
"01/01/2024 21:30 - 01/01/2024 21:45","Finland (FI)","13767.00","12871.60"
"01/01/2024 21:45 - 01/01/2024 22:00","Finland (FI)","13824.00","12845.60"
"01/01/2024 22:00 - 01/01/2024 22:15","Finland (FI)","13820.00","12770.80"
"01/01/2024 22:15 - 01/01/2024 22:30","Finland (FI)","13694.00","12709.50"
"01/01/2024 22:30 - 01/01/2024 22:45","Finland (FI)","13681.00","12657.60"
"01/01/2024 22:45 - 01/01/2024 23:00","Finland (FI)","13483.00","12568.80"
"01/01/2024 23:00 - 01/01/2024 23:15","Finland (FI)","13512.00","12423.90"
"01/01/2024 23:15 - 01/01/2024 23:30","Finland (FI)","13528.00","12346.10"
"01/01/2024 23:30 - 01/01/2024 23:45","Finland (FI)","13449.00","12312.10"
"01/01/2024 23:45 - 02/01/2024 00:00","Finland (FI)","13308.00","12291.20"
"02/01/2024 00:00 - 02/01/2024 00:15","Finland (FI)","13331.00","12500.10"
"02/01/2024 00:15 - 02/01/2024 00:30","Finland (FI)","13240.00","12494.50"
"02/01/2024 00:30 - 02/01/2024 00:45","Finland (FI)","13242.00","12483.80"
"02/01/2024 00:45 - 02/01/2024 01:00","Finland (FI)","13124.00","12466.00"
"02/01/2024 01:00 - 02/01/2024 01:15","Finland (FI)","13136.00","12439.50"
"02/01/2024 01:15 - 02/01/2024 01:30","Finland (FI)","13006.00","12412.50"
"02/01/2024 01:30 - 02/01/2024 01:45","Finland (FI)","12961.00","12387.40"
"02/01/2024 01:45 - 02/01/2024 02:00","Finland (FI)","12997.00","12346.20"
"02/01/2024 02:00 - 02/01/2024 02:15","Finland (FI)","13043.00","12277.50"
"02/01/2024 02:15 - 02/01/2024 02:30","Finland (FI)","13024.00","12245.10"
"02/01/2024 02:30 - 02/01/2024 02:45","Finland (FI)","12941.00","12236.30"
"02/01/2024 02:45 - 02/01/2024 03:00","Finland (FI)","13031.00","12238.50"
"02/01/2024 03:00 - 02/01/2024 03:15","Finland (FI)","13015.00","12258.40"
"02/01/2024 03:15 - 02/01/2024 03:30","Finland (FI)","13057.00","12281.90"
"02/01/2024 03:30 - 02/01/2024 03:45","Finland (FI)","13073.00","12313.60"
"02/01/2024 03:45 - 02/01/2024 04:00","Finland (FI)","13042.00","12349.00"
"02/01/2024 04:00 - 02/01/2024 04:15","Finland (FI)","13125.00","12381.20"
"02/01/2024 04:15 - 02/01/2024 04:30","Finland (FI)","13133.00","12442.40"
"02/01/2024 04:30 - 02/01/2024 04:45","Finland (FI)","13217.00","12531.60"
"02/01/2024 04:45 - 02/01/2024 05:00","Finland (FI)","13259.00","12644.00"
"02/01/2024 05:00 - 02/01/2024 05:15","Finland (FI)","13338.00","12812.90"
"02/01/2024 05:15 - 02/01/2024 05:30","Finland (FI)","13474.00","12933.10"
"02/01/2024 05:30 - 02/01/2024 05:45","Finland (FI)","13545.00","13026.50"
"02/01/2024 05:45 - 02/01/2024 06:00","Finland (FI)","13698.00","13111.00"
"02/01/2024 06:00 - 02/01/2024 06:15","Finland (FI)","13579.00","13173.90"
"02/01/2024 06:15 - 02/01/2024 06:30","Finland (FI)","13557.00","13248.30"
"02/01/2024 06:30 - 02/01/2024 06:45","Finland (FI)","13689.00","13323.50"
"02/01/2024 06:45 - 02/01/2024 07:00","Finland (FI)","13750.00","13409.60"
"02/01/2024 07:00 - 02/01/2024 07:15","Finland (FI)","13712.00","13522.40"
"02/01/2024 07:15 - 02/01/2024 07:30","Finland (FI)","13828.00","13588.30"
"02/01/2024 07:30 - 02/01/2024 07:45","Finland (FI)","13892.00","13625.20"
"02/01/2024 07:45 - 02/01/2024 08:00","Finland (FI)","13974.00","13635.20"
"02/01/2024 08:00 - 02/01/2024 08:15","Finland (FI)","14021.00","13601.30"
"02/01/2024 08:15 - 02/01/2024 08:30","Finland (FI)","13978.00","13589.10"
"02/01/2024 08:30 - 02/01/2024 08:45","Finland (FI)","13970.00","13587.00"
"02/01/2024 08:45 - 02/01/2024 09:00","Finland (FI)","13965.00","13575.20"
"02/01/2024 09:00 - 02/01/2024 09:15","Finland (FI)","14064.00","13554.70"
"02/01/2024 09:15 - 02/01/2024 09:30","Finland (FI)","14051.00","13540.70"
"02/01/2024 09:30 - 02/01/2024 09:45","Finland (FI)","14114.00","13531.20"
"02/01/2024 09:45 - 02/01/2024 10:00","Finland (FI)","14100.00","13519.00"
"02/01/2024 10:00 - 02/01/2024 10:15","Finland (FI)","14074.00","13502.30"
"02/01/2024 10:15 - 02/01/2024 10:30","Finland (FI)","14079.00","13495.20"
"02/01/2024 10:30 - 02/01/2024 10:45","Finland (FI)","14133.00","13493.10"
"02/01/2024 10:45 - 02/01/2024 11:00","Finland (FI)","14241.00","13500.50"
"02/01/2024 11:00 - 02/01/2024 11:15","Finland (FI)","14259.00","13524.30"
"02/01/2024 11:15 - 02/01/2024 11:30","Finland (FI)","14220.00","13532.20"
"02/01/2024 11:30 - 02/01/2024 11:45","Finland (FI)","14263.00","13531.30"
"02/01/2024 11:45 - 02/01/2024 12:00","Finland (FI)","14350.00","13525.80"
"02/01/2024 12:00 - 02/01/2024 12:15","Finland (FI)","14298.00","13510.90"
"02/01/2024 12:15 - 02/01/2024 12:30","Finland (FI)","14318.00","13501.70"
"02/01/2024 12:30 - 02/01/2024 12:45","Finland (FI)","14223.00","13497.40"
"02/01/2024 12:45 - 02/01/2024 13:00","Finland (FI)","14168.00","13486.20"
"02/01/2024 13:00 - 02/01/2024 13:15","Finland (FI)","14266.00","13463.40"
"02/01/2024 13:15 - 02/01/2024 13:30","Finland (FI)","14223.00","13460.20"
"02/01/2024 13:30 - 02/01/2024 13:45","Finland (FI)","14216.00","13469.30"
"02/01/2024 13:45 - 02/01/2024 14:00","Finland (FI)","14266.00","13488.80"
"02/01/2024 14:00 - 02/01/2024 14:15","Finland (FI)","14252.00","13525.00"
"02/01/2024 14:15 - 02/01/2024 14:30","Finland (FI)","14306.00","13554.40"
"02/01/2024 14:30 - 02/01/2024 14:45","Finland (FI)","14307.00","13579.80"
"02/01/2024 14:45 - 02/01/2024 15:00","Finland (FI)","14357.00","13613.50"
"02/01/2024 15:00 - 02/01/2024 15:15","Finland (FI)","14363.00","13659.00"
"02/01/2024 15:15 - 02/01/2024 15:30","Finland (FI)","14468.00","13690.20"
"02/01/2024 15:30 - 02/01/2024 15:45","Finland (FI)","14430.00","13712.00"
"02/01/2024 15:45 - 02/01/2024 16:00","Finland (FI)","14518.00","13730.50"
"02/01/2024 16:00 - 02/01/2024 16:15","Finland (FI)","14527.00","13743.40"
"02/01/2024 16:15 - 02/01/2024 16:30","Finland (FI)","14535.00","13753.50"
"02/01/2024 16:30 - 02/01/2024 16:45","Finland (FI)","14552.00","13770.10"
"02/01/2024 16:45 - 02/01/2024 17:00","Finland (FI)","14505.00","13771.40"
"02/01/2024 17:00 - 02/01/2024 17:15","Finland (FI)","14616.00","13766.50"
"02/01/2024 17:15 - 02/01/2024 17:30","Finland (FI)","14578.00","13761.80"
"02/01/2024 17:30 - 02/01/2024 17:45","Finland (FI)","14569.00","13755.00"
"02/01/2024 17:45 - 02/01/2024 18:00","Finland (FI)","14540.00","13748.70"
"02/01/2024 18:00 - 02/01/2024 18:15","Finland (FI)","14513.00","13746.50"
"02/01/2024 18:15 - 02/01/2024 18:30","Finland (FI)","14653.00","13731.50"
"02/01/2024 18:30 - 02/01/2024 18:45","Finland (FI)","14563.00","13706.80"
"02/01/2024 18:45 - 02/01/2024 19:00","Finland (FI)","14417.00","13677.50"
"02/01/2024 19:00 - 02/01/2024 19:15","Finland (FI)","14445.00","13643.20"
"02/01/2024 19:15 - 02/01/2024 19:30","Finland (FI)","14333.00","13600.00"
"02/01/2024 19:30 - 02/01/2024 19:45","Finland (FI)","14399.00","13556.40"
"02/01/2024 19:45 - 02/01/2024 20:00","Finland (FI)","14305.00","13482.80"
"02/01/2024 20:00 - 02/01/2024 20:15","Finland (FI)","14283.00","13356.30"
"02/01/2024 20:15 - 02/01/2024 20:30","Finland (FI)","14298.00","13298.30"
"02/01/2024 20:30 - 02/01/2024 20:45","Finland (FI)","14170.00","13275.20"
"02/01/2024 20:45 - 02/01/2024 21:00","Finland (FI)","14066.00","13300.40"
"02/01/2024 21:00 - 02/01/2024 21:15","Finland (FI)","14241.00","13414.40"
"02/01/2024 21:15 - 02/01/2024 21:30","Finland (FI)","14269.00","13441.70"
"02/01/2024 21:30 - 02/01/2024 21:45","Finland (FI)","14350.00","13418.50"
"02/01/2024 21:45 - 02/01/2024 22:00","Finland (FI)","14355.00","13375.60"
"02/01/2024 22:00 - 02/01/2024 22:15","Finland (FI)","14394.00","13292.20"
"02/01/2024 22:15 - 02/01/2024 22:30","Finland (FI)","14311.00","13220.50"
"02/01/2024 22:30 - 02/01/2024 22:45","Finland (FI)","14104.00","13158.30"
"02/01/2024 22:45 - 02/01/2024 23:00","Finland (FI)","14014.00","13062.50"
"02/01/2024 23:00 - 02/01/2024 23:15","Finland (FI)","13986.00","12913.80"
"02/01/2024 23:15 - 02/01/2024 23:30","Finland (FI)","13900.00","12832.30"
"02/01/2024 23:30 - 02/01/2024 23:45","Finland (FI)","13789.00","12795.50"
"02/01/2024 23:45 - 03/01/2024 00:00","Finland (FI)","13778.00","12773.30"
"03/01/2024 00:00 - 03/01/2024 00:15","Finland (FI)","13828.00","13305.00"
"03/01/2024 00:15 - 03/01/2024 00:30","Finland (FI)","13751.00","13295.10"
"03/01/2024 00:30 - 03/01/2024 00:45","Finland (FI)","13714.00","13279.30"
"03/01/2024 00:45 - 03/01/2024 01:00","Finland (FI)","13557.00","13241.60"
"03/01/2024 01:00 - 03/01/2024 01:15","Finland (FI)","13540.00","13169.90"
"03/01/2024 01:15 - 03/01/2024 01:30","Finland (FI)","13513.00","13128.40"
"03/01/2024 01:30 - 03/01/2024 01:45","Finland (FI)","13492.00","13105.60"
"03/01/2024 01:45 - 03/01/2024 02:00","Finland (FI)","13508.00","13083.40"
"03/01/2024 02:00 - 03/01/2024 02:15","Finland (FI)","13529.00","13063.90"
"03/01/2024 02:15 - 03/01/2024 02:30","Finland (FI)","13503.00","13056.10"
"03/01/2024 02:30 - 03/01/2024 02:45","Finland (FI)","13561.00","13058.80"
"03/01/2024 02:45 - 03/01/2024 03:00","Finland (FI)","13528.00","13067.80"
"03/01/2024 03:00 - 03/01/2024 03:15","Finland (FI)","13474.00","13081.90"
"03/01/2024 03:15 - 03/01/2024 03:30","Finland (FI)","13622.00","13109.60"
"03/01/2024 03:30 - 03/01/2024 03:45","Finland (FI)","13620.00","13152.30"
"03/01/2024 03:45 - 03/01/2024 04:00","Finland (FI)","13644.00","13196.20"
"03/01/2024 04:00 - 03/01/2024 04:15","Finland (FI)","13697.00","13232.80"
"03/01/2024 04:15 - 03/01/2024 04:30","Finland (FI)","13625.00","13309.40"
"03/01/2024 04:30 - 03/01/2024 04:45","Finland (FI)","13723.00","13383.20"
"03/01/2024 04:45 - 03/01/2024 05:00","Finland (FI)","13855.00","13531.60"
"03/01/2024 05:00 - 03/01/2024 05:15","Finland (FI)","13937.00","13764.80"
"03/01/2024 05:15 - 03/01/2024 05:30","Finland (FI)","14041.00","13916.30"
"03/01/2024 05:30 - 03/01/2024 05:45","Finland (FI)","14153.00","14021.50"
"03/01/2024 05:45 - 03/01/2024 06:00","Finland (FI)","14282.00","14105.00"
"03/01/2024 06:00 - 03/01/2024 06:15","Finland (FI)","14153.00","14143.80"
"03/01/2024 06:15 - 03/01/2024 06:30","Finland (FI)","14263.00","14205.70"
"03/01/2024 06:30 - 03/01/2024 06:45","Finland (FI)","14308.00","14274.70"
"03/01/2024 06:45 - 03/01/2024 07:00","Finland (FI)","14440.00","14347.20"
"03/01/2024 07:00 - 03/01/2024 07:15","Finland (FI)","14435.00","14437.60"
"03/01/2024 07:15 - 03/01/2024 07:30","Finland (FI)","14510.00","14492.10"
"03/01/2024 07:30 - 03/01/2024 07:45","Finland (FI)","14588.00","14523.70"
"03/01/2024 07:45 - 03/01/2024 08:00","Finland (FI)","14641.00","14534.10"
"03/01/2024 08:00 - 03/01/2024 08:15","Finland (FI)","14588.00","14511.00"
"03/01/2024 08:15 - 03/01/2024 08:30","Finland (FI)","14566.00","14501.70"
"03/01/2024 08:30 - 03/01/2024 08:45","Finland (FI)","14582.00","14498.80"
"03/01/2024 08:45 - 03/01/2024 09:00","Finland (FI)","14528.00","14484.00"
"03/01/2024 09:00 - 03/01/2024 09:15","Finland (FI)","14573.00","14455.20"
"03/01/2024 09:15 - 03/01/2024 09:30","Finland (FI)","14604.00","14439.10"
"03/01/2024 09:30 - 03/01/2024 09:45","Finland (FI)","14659.00","14430.90"
"03/01/2024 09:45 - 03/01/2024 10:00","Finland (FI)","14653.00","14423.60"
"03/01/2024 10:00 - 03/01/2024 10:15","Finland (FI)","14687.00","14418.80"
"03/01/2024 10:15 - 03/01/2024 10:30","Finland (FI)","14705.00","14417.10"
"03/01/2024 10:30 - 03/01/2024 10:45","Finland (FI)","14704.00","14416.40"
"03/01/2024 10:45 - 03/01/2024 11:00","Finland (FI)","14721.00","14424.50"
"03/01/2024 11:00 - 03/01/2024 11:15","Finland (FI)","14721.00","14447.50"
"03/01/2024 11:15 - 03/01/2024 11:30","Finland (FI)","14692.00","14453.40"
"03/01/2024 11:30 - 03/01/2024 11:45","Finland (FI)","14720.00","14450.20"
"03/01/2024 11:45 - 03/01/2024 12:00","Finland (FI)","14707.00","14437.70"
"03/01/2024 12:00 - 03/01/2024 12:15","Finland (FI)","14677.00","14407.50"
"03/01/2024 12:15 - 03/01/2024 12:30","Finland (FI)","14619.00","14393.10"
"03/01/2024 12:30 - 03/01/2024 12:45","Finland (FI)","14613.00","14389.00"
"03/01/2024 12:45 - 03/01/2024 13:00","Finland (FI)","14606.00","14384.10"
"03/01/2024 13:00 - 03/01/2024 13:15","Finland (FI)","14647.00","14378.50"
"03/01/2024 13:15 - 03/01/2024 13:30","Finland (FI)","14561.00","14382.80"
"03/01/2024 13:30 - 03/01/2024 13:45","Finland (FI)","14563.00","14394.50"
"03/01/2024 13:45 - 03/01/2024 14:00","Finland (FI)","14616.00","14413.40"
"03/01/2024 14:00 - 03/01/2024 14:15","Finland (FI)","14643.00","14442.40"
"03/01/2024 14:15 - 03/01/2024 14:30","Finland (FI)","14634.00","14470.60"
"03/01/2024 14:30 - 03/01/2024 14:45","Finland (FI)","14714.00","14497.20"
"03/01/2024 14:45 - 03/01/2024 15:00","Finland (FI)","14849.00","14536.50"
"03/01/2024 15:00 - 03/01/2024 15:15","Finland (FI)","14789.00","14596.50"
"03/01/2024 15:15 - 03/01/2024 15:30","Finland (FI)","14781.00","14630.80"
"03/01/2024 15:30 - 03/01/2024 15:45","Finland (FI)","14792.00","14649.40"
"03/01/2024 15:45 - 03/01/2024 16:00","Finland (FI)","14910.00","14658.80"
"03/01/2024 16:00 - 03/01/2024 16:15","Finland (FI)","14942.00","14652.60"
"03/01/2024 16:15 - 03/01/2024 16:30","Finland (FI)","14947.00","14650.50"
"03/01/2024 16:30 - 03/01/2024 16:45","Finland (FI)","14973.00","14655.80"
"03/01/2024 16:45 - 03/01/2024 17:00","Finland (FI)","14914.00","14645.70"
"03/01/2024 17:00 - 03/01/2024 17:15","Finland (FI)","14895.00","14625.60"
"03/01/2024 17:15 - 03/01/2024 17:30","Finland (FI)","14918.00","14612.70"
"03/01/2024 17:30 - 03/01/2024 17:45","Finland (FI)","14889.00","14601.30"
"03/01/2024 17:45 - 03/01/2024 18:00","Finland (FI)","14962.00","14596.80"
"03/01/2024 18:00 - 03/01/2024 18:15","Finland (FI)","14962.00","14607.60"
"03/01/2024 18:15 - 03/01/2024 18:30","Finland (FI)","15038.00","14595.00"
"03/01/2024 18:30 - 03/01/2024 18:45","Finland (FI)","15004.00","14566.50"
"03/01/2024 18:45 - 03/01/2024 19:00","Finland (FI)","14967.00","14530.90"
"03/01/2024 19:00 - 03/01/2024 19:15","Finland (FI)","14992.00","14485.10"
"03/01/2024 19:15 - 03/01/2024 19:30","Finland (FI)","14970.00","14432.50"
"03/01/2024 19:30 - 03/01/2024 19:45","Finland (FI)","14870.00","14381.00"
"03/01/2024 19:45 - 03/01/2024 20:00","Finland (FI)","14835.00","14295.80"
"03/01/2024 20:00 - 03/01/2024 20:15","Finland (FI)","14711.00","14151.50"
"03/01/2024 20:15 - 03/01/2024 20:30","Finland (FI)","14620.00","14084.20"
"03/01/2024 20:30 - 03/01/2024 20:45","Finland (FI)","14396.00","14057.40"
"03/01/2024 20:45 - 03/01/2024 21:00","Finland (FI)","14262.00","14080.60"
"03/01/2024 21:00 - 03/01/2024 21:15","Finland (FI)","14485.00","14195.20"
"03/01/2024 21:15 - 03/01/2024 21:30","Finland (FI)","14663.00","14226.80"
"03/01/2024 21:30 - 03/01/2024 21:45","Finland (FI)","14814.00","14207.50"
"03/01/2024 21:45 - 03/01/2024 22:00","Finland (FI)","14779.00","14182.80"
"03/01/2024 22:00 - 03/01/2024 22:15","Finland (FI)","14742.00","14142.90"
"03/01/2024 22:15 - 03/01/2024 22:30","Finland (FI)","14640.00","14081.10"
"03/01/2024 22:30 - 03/01/2024 22:45","Finland (FI)","14556.00","14011.20"
"03/01/2024 22:45 - 03/01/2024 23:00","Finland (FI)","14387.00","13885.20"
"03/01/2024 23:00 - 03/01/2024 23:15","Finland (FI)","14386.00","13665.60"
"03/01/2024 23:15 - 03/01/2024 23:30","Finland (FI)","14414.00","13550.40"
"03/01/2024 23:30 - 03/01/2024 23:45","Finland (FI)","14385.00","13502.50"
"03/01/2024 23:45 - 04/01/2024 00:00","Finland (FI)","14292.00","13472.30"
"04/01/2024 00:00 - 04/01/2024 00:15","Finland (FI)","14101.00","13683.90"
"04/01/2024 00:15 - 04/01/2024 00:30","Finland (FI)","14105.00","13675.00"
"04/01/2024 00:30 - 04/01/2024 00:45","Finland (FI)","14010.00","13660.20"
"04/01/2024 00:45 - 04/01/2024 01:00","Finland (FI)","14008.00","13627.50"
"04/01/2024 01:00 - 04/01/2024 01:15","Finland (FI)","14056.00","13568.00"
"04/01/2024 01:15 - 04/01/2024 01:30","Finland (FI)","14015.00","13529.50"
"04/01/2024 01:30 - 04/01/2024 01:45","Finland (FI)","14057.00","13504.50"
"04/01/2024 01:45 - 04/01/2024 02:00","Finland (FI)","14035.00","13475.30"
"04/01/2024 02:00 - 04/01/2024 02:15","Finland (FI)","14056.00","13440.90"
"04/01/2024 02:15 - 04/01/2024 02:30","Finland (FI)","14052.00","13423.50"
"04/01/2024 02:30 - 04/01/2024 02:45","Finland (FI)","14072.00","13419.40"
"04/01/2024 02:45 - 04/01/2024 03:00","Finland (FI)","14097.00","13421.10"
"04/01/2024 03:00 - 04/01/2024 03:15","Finland (FI)","14099.00","13428.60"
"04/01/2024 03:15 - 04/01/2024 03:30","Finland (FI)","14086.00","13449.60"
"04/01/2024 03:30 - 04/01/2024 03:45","Finland (FI)","14145.00","13485.00"
"04/01/2024 03:45 - 04/01/2024 04:00","Finland (FI)","14185.00","13523.30"
"04/01/2024 04:00 - 04/01/2024 04:15","Finland (FI)","14262.00","13558.00"
"04/01/2024 04:15 - 04/01/2024 04:30","Finland (FI)","14316.00","13627.10"
"04/01/2024 04:30 - 04/01/2024 04:45","Finland (FI)","14315.00","13713.60"
"04/01/2024 04:45 - 04/01/2024 05:00","Finland (FI)","14373.00","13848.00"
"04/01/2024 05:00 - 04/01/2024 05:15","Finland (FI)","14379.00","14058.50"
"04/01/2024 05:15 - 04/01/2024 05:30","Finland (FI)","14543.00","14196.00"
"04/01/2024 05:30 - 04/01/2024 05:45","Finland (FI)","14601.00","14292.10"
"04/01/2024 05:45 - 04/01/2024 06:00","Finland (FI)","14644.00","14369.10"
"04/01/2024 06:00 - 04/01/2024 06:15","Finland (FI)","14434.00","14406.70"
"04/01/2024 06:15 - 04/01/2024 06:30","Finland (FI)","14522.00","14464.50"
"04/01/2024 06:30 - 04/01/2024 06:45","Finland (FI)","14625.00","14528.60"
