"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","Finland (FI)","12442.00","11830.60"
"01/01/2024 00:15 - 01/01/2024 00:30","Finland (FI)","12478.00","11817.10"
"01/01/2024 00:30 - 01/01/2024 00:45","Finland (FI)","12421.00","11794.10"
"01/01/2024 00:45 - 01/01/2024 01:00","Finland (FI)","12378.00","11745.50"
"01/01/2024 01:00 - 01/01/2024 01:15","Finland (FI)","12329.00","11658.90"
"01/01/2024 01:15 - 01/01/2024 01:30","Finland (FI)","12329.00","11599.50"
"01/01/2024 01:30 - 01/01/2024 01:45","Finland (FI)","12286.00","11557.00"
"01/01/2024 01:45 - 01/01/2024 02:00","Finland (FI)","12247.00","11507.80"
"01/01/2024 02:00 - 01/01/2024 02:15","Finland (FI)","12205.00","11450.70"
"01/01/2024 02:15 - 01/01/2024 02:30","Finland (FI)","12149.00","11414.20"
"01/01/2024 02:30 - 01/01/2024 02:45","Finland (FI)","12180.00","11391.60"
"01/01/2024 02:45 - 01/01/2024 03:00","Finland (FI)","12140.00","11380.90"
"01/01/2024 03:00 - 01/01/2024 03:15","Finland (FI)","12194.00","11387.60"
"01/01/2024 03:15 - 01/01/2024 03:30","Finland (FI)","12177.00","11391.70"
"01/01/2024 03:30 - 01/01/2024 03:45","Finland (FI)","12189.00","11397.90"
"01/01/2024 03:45 - 01/01/2024 04:00","Finland (FI)","12180.00","11407.80"
"01/01/2024 04:00 - 01/01/2024 04:15","Finland (FI)","12205.00","11418.10"
"01/01/2024 04:15 - 01/01/2024 04:30","Finland (FI)","12201.00","11441.00"
"01/01/2024 04:30 - 01/01/2024 04:45","Finland (FI)","12212.00","11440.80"
"01/01/2024 04:45 - 01/01/2024 05:00","Finland (FI)","12301.00","11492.90"
"01/01/2024 05:00 - 01/01/2024 05:15","Finland (FI)","12348.00","11581.60"
"01/01/2024 05:15 - 01/01/2024 05:30","Finland (FI)","12458.00","11631.90"
"01/01/2024 05:30 - 01/01/2024 05:45","Finland (FI)","12428.00","11662.90"
"01/01/2024 05:45 - 01/01/2024 06:00","Finland (FI)","12415.00","11673.10"
"01/01/2024 06:00 - 01/01/2024 06:15","Finland (FI)","12341.00","11642.70"
"01/01/2024 06:15 - 01/01/2024 06:30","Finland (FI)","12372.00","11652.40"
"01/01/2024 06:30 - 01/01/2024 06:45","Finland (FI)","12463.00","11682.60"
"01/01/2024 06:45 - 01/01/2024 07:00","Finland (FI)","12425.00","11731.60"
"01/01/2024 07:00 - 01/01/2024 07:15","Finland (FI)","12502.00","11818.50"
"01/01/2024 07:15 - 01/01/2024 07:30","Finland (FI)","12536.00","11868.60"
"01/01/2024 07:30 - 01/01/2024 07:45","Finland (FI)","12650.00","11899.30"
"01/01/2024 07:45 - 01/01/2024 08:00","Finland (FI)","12643.00","11915.80"
"01/01/2024 08:00 - 01/01/2024 08:15","Finland (FI)","12611.00","11903.00"
"01/01/2024 08:15 - 01/01/2024 08:30","Finland (FI)","12664.00","11915.50"
"01/01/2024 08:30 - 01/01/2024 08:45","Finland (FI)","12694.00","11941.20"
"01/01/2024 08:45 - 01/01/2024 09:00","Finland (FI)","12709.00","11974.00"
"01/01/2024 09:00 - 01/01/2024 09:15","Finland (FI)","12719.00","12023.00"
"01/01/2024 09:15 - 01/01/2024 09:30","Finland (FI)","12726.00","12058.00"
"01/01/2024 09:30 - 01/01/2024 09:45","Finland (FI)","12864.00","12084.80"
"01/01/2024 09:45 - 01/01/2024 10:00","Finland (FI)","12946.00","12110.60"
"01/01/2024 10:00 - 01/01/2024 10:15","Finland (FI)","12957.00","12133.30"
"01/01/2024 10:15 - 01/01/2024 10:30","Finland (FI)","12971.00","12154.00"
"01/01/2024 10:30 - 01/01/2024 10:45","Finland (FI)","12998.00","12172.60"
"01/01/2024 10:45 - 01/01/2024 11:00","Finland (FI)","13102.00","12188.80"
"01/01/2024 11:00 - 01/01/2024 11:15","Finland (FI)","13117.00","12202.90"
"01/01/2024 11:15 - 01/01/2024 11:30","Finland (FI)","13144.00","12214.30"
"01/01/2024 11:30 - 01/01/2024 11:45","Finland (FI)","13180.00","12224.60"
"01/01/2024 11:45 - 01/01/2024 12:00","Finland (FI)","13107.00","12227.50"
"01/01/2024 12:00 - 01/01/2024 12:15","Finland (FI)","13131.00","12218.20"
"01/01/2024 12:15 - 01/01/2024 12:30","Finland (FI)","13165.00","12222.60"
"01/01/2024 12:30 - 01/01/2024 12:45","Finland (FI)","13116.00","12237.10"
"01/01/2024 12:45 - 01/01/2024 13:00","Finland (FI)","13107.00","12250.30"
"01/01/2024 13:00 - 01/01/2024 13:15","Finland (FI)","13214.00","12260.10"
"01/01/2024 13:15 - 01/01/2024 13:30","Finland (FI)","13225.00","12286.20"
"01/01/2024 13:30 - 01/01/2024 13:45","Finland (FI)","13250.00","12324.30"
"01/01/2024 13:45 - 01/01/2024 14:00","Finland (FI)","13239.00","12371.90"
"01/01/2024 14:00 - 01/01/2024 14:15","Finland (FI)","13287.00","12432.00"
"01/01/2024 14:15 - 01/01/2024 14:30","Finland (FI)","13337.00","12494.90"
"01/01/2024 14:30 - 01/01/2024 14:45","Finland (FI)","13489.00","12556.70"
"01/01/2024 14:45 - 01/01/2024 15:00","Finland (FI)","13638.00","12642.70"
"01/01/2024 15:00 - 01/01/2024 15:15","Finland (FI)","13683.00","12769.20"
